District,Suburbs,Max Results
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",24
Pankow,"[('Blankenburg', 118), ('Steglitz', 181), ('Blankenfelde', 119), ('Pankow', 170)]",148
Pankow,"[('Buch', 123), ('Prenzlauer Berg', 171), ('Buchholz', 124), ('Französisch Buchholz', 85078)]",305
Treptow-Köpenick,"[('Friedrichshagen', 131), ('Schöneberg', 178)]",170
Treptow-Köpenick,"[('Adlershof', 114), ('Johannisthal', 143), ('Plänterwald', 85089), ('Oberschöneweide', 169)]",72
Treptow-Köpenick,"[('Wilhelmshagen', 191)]",7
Treptow-Köpenick,"[('Niederschöneweide', 166)]",15
Treptow-Köpenick,"[('Rahnsdorf', 172), ('Karolinenhof', 145)]",9
Treptow-Köpenick,"[('Hessenwinkel', 141), ('Bohnsdorf', 120), ('Müggelheim', 164)]",9
Treptow-Köpenick,"[('Treptow', 185), ('Grünau', 135), ('Altglienicke', 115), ('Baumschulenweg', 116)]",55
Treptow-Köpenick,"[('Köpenick', 150)]",39
Lichtenberg,"[('Falkenberg', 128), ('Malchow', 158)]",9
Lichtenberg,"[('Rummelsburg', 85090), ('Alt-Hohenschönhausen', 85076), ('Karlshorst', 144)]",43
Lichtenberg,"[('Hohenschönhausen', 142), ('Wartenberg', 188)]",10
Lichtenberg,"[('Neu-Hohenschönhausen', 85087), ('Lichtenberg', 153)]",112
